Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
2.6,56.62035,57.85616,55.17765,60.58757,60.04709,61.48036,58.21172,59.31432,61.7781,58.03328,68.34795,60.4402,3
2.7,56.62262,57.86148,55.17765,60.58757,60.04709,61.48036,58.21263,59.31358,61.78612,58.03243,68.34795,60.4402,3
2.8,56.62262,57.86148,55.17958,60.5947,60.04791,61.47926,58.21263,59.31358,61.78703,58.03243,68.37669,60.44031,3
2.9,56.6275,57.87238,55.18391,60.5947,60.04791,61.47926,58.21132,59.31427,61.78703,58.0321,68.38895,60.44031,3
3,56.6275,57.87238,55.18391,60.60838,60.04808,61.47909,58.21132,59.31427,61.79054,58.0321,68.38895,60.439,3
3.1,56.6152,57.89847,55.19245,60.60838,60.04808,61.47909,58.21132,59.31328,61.79054,58.03266,68.39713,60.43896,3
3.2,56.61785,57.89847,55.19245,60.64104,60.04791,61.48018,58.21132,59.31328,61.78993,58.03165,68.39713,60.43896,3
3.3,56.61785,57.91836,55.20408,60.64104,60.04791,61.48018,58.21172,59.31328,61.78993,58.03165,68.39752,60.43793,3
3.4,56.6211,57.91836,55.20408,60.68932,60.04773,61.47938,58.21172,59.31328,61.79845,58.03153,68.48119,60.43793,3
3.5,56.6211,57.93646,55.22395,60.73208,60.04773,61.47938,58.21087,59.31328,61.90229,58.03153,68.48119,60.43794,3
3.6,56.61352,57.94218,55.22395,60.73208,60.0482,61.47932,58.21087,59.31328,61.90229,58.03075,68.6539,60.43794,3
3.7,56.61352,57.94218,55.22107,60.74885,60.0482,61.47932,58.21059,59.31351,61.97169,58.03216,68.6539,60.43877,3
3.8,56.59566,57.91007,55.22107,60.74885,60.04768,61.47987,58.21059,59.31351,61.97169,58.03216,68.70786,60.43769,3
3.9,56.59566,57.91007,55.17187,60.78589,60.04768,61.47987,58.20998,59.3141,61.98147,58.03204,68.70786,60.43769,3
4,56.56228,57.89539,55.16817,60.78589,60.04756,61.47938,58.20998,59.3141,61.98147,58.03204,68.71886,60.43739,3
4.1,56.56531,57.89539,55.16817,60.68175,60.04756,61.47938,58.20968,59.31473,61.98395,58.03086,68.72259,60.43739,3
4.2,56.56531,58.0172,55.17692,60.66235,60.04879,61.47926,58.20968,59.31473,61.98514,58.03086,68.72259,60.43775,3
4.3,56.58348,58.00912,55.17692,60.66235,60.04879,61.47926,58.21019,59.31375,61.98514,58.03165,68.72201,60.43775,3
4.4,56.59409,58.00912,55.17937,60.64834,60.04838,61.47926,58.21019,59.31375,61.98693,58.03227,68.72201,60.43882,3
4.5,56.59409,58.04407,55.18536,60.64834,60.04838,61.48018,58.20941,59.31375,61.98693,58.03227,68.72305,60.43918,3
4.6,56.60118,58.04407,55.18536,60.64523,60.04783,61.48018,58.20941,59.31334,61.98619,58.03159,68.72305,60.43918,3
4.7,56.60118,58.06437,55.19058,60.64523,60.04783,61.47938,58.20968,59.31334,61.98456,58.03159,68.72388,60.43848,3
4.8,56.60735,58.0687,55.19058,60.64404,60.04892,61.47938,58.20968,59.31252,61.98456,58.03204,68.71912,60.43848,3
4.9,56.60735,58.0687,55.1925,60.64481,60.04892,61.47914,58.20941,59.31252,61.98302,58.03204,68.71912,60.4375,3
5,56.60914,58.07101,55.1925,60.64481,60.04892,61.47914,58.20941,59.31252,61.98302,58.0312,68.71661,60.43739,3
5.1,56.60914,58.07101,55.19251,60.64397,60.04892,61.47932,58.20879,59.31252,61.98284,58.03109,68.71661,60.43739,3
5.2,56.60903,58.06886,55.19251,60.64397,60.04843,61.47932,58.20879,59.31334,61.76527,58.03109,68.68109,60.439,3
5.3,56.6106,58.06886,55.19276,60.6459,60.04843,61.47944,58.20907,59.31334,61.76527,58.03058,68.33212,60.439,3
5.4,56.6106,58.06937,55.19323,60.6459,60.04955,61.47944,58.20907,59.31345,61.74841,58.03058,68.33212,60.43662,3
5.5,56.61119,58.06937,55.19323,60.64349,60.04955,61.48061,58.20918,59.31345,61.74841,58.03194,68.23692,60.4375,3
5.6,56.61119,58.08085,55.19631,60.64349,60.04868,61.48061,58.20918,59.31397,61.74019,58.03204,68.23692,60.4375,3
5.7,56.60226,58.00895,55.19631,60.64162,60.04868,61.48024,58.20975,59.31397,61.74019,58.03204,68.21591,60.43716,3
5.8,56.60226,58.00895,55.16833,60.64162,60.04866,61.48024,58.20975,59.31387,61.73984,58.03148,68.214,60.43716,3
5.9,56.54622,57.7987,55.16833,60.59326,60.04866,61.4795,58.20896,59.31387,61.74083,58.03148,68.214,60.4375,3
6,56.54622,57.7987,55.15807,60.53061,60.04815,61.4795,58.20896,59.31393,61.74083,58.03271,68.21769,60.43733,3
6.1,56.6165,57.80395,55.15807,60.53061,60.04815,61.47938,58.20834,59.31393,61.74385,58.03199,68.21769,60.43733,3
6.2,56.61412,57.80395,55.15942,60.52845,60.04785,61.47938,58.20834,59.31438,61.74385,58.03199,68.22438,60.43674,3
6.3,56.61412,57.80595,55.16145,60.52845,60.04785,61.47963,58.20868,59.31438,61.7455,58.03243,68.22508,60.43674,3
